Date,MOH,ANTM,HUM,UNH
6/23/16,51.200001,128.669998,187.309998,139.190002
6/24/16,50.299999,126.379997,182.899994,137.289993
6/27/16,49.02,124.849998,176.940002,137.110001
6/28/16,49.740002,127.050003,182.949997,138.710007
6/29/16,50.66,131.479996,183.649994,140.520004
6/30/16,49.900002,131.339996,179.880005,141.199997
7/1/16,49.830002,131.669998,174,140.860001
7/5/16,48.240002,130.839996,177.210007,141.559998
7/6/16,48.669998,132.119995,179.979996,142.380005
7/7/16,48.959999,129.440002,162.740005,140.800003
7/8/16,50.209999,132.149994,158.149994,141.270004
7/11/16,50.900002,131.559998,154,140.320007
7/12/16,51.150002,131.880005,154.710007,139.860001
7/13/16,52,133.740005,161.300003,141.479996
7/14/16,52,133.910004,161.270004,140.839996
7/15/16,52.009998,134.309998,158.889999,141.330002
7/18/16,52.509998,135,159.639999,140.75
7/19/16,52.110001,132.059998,153.380005,142.589996
7/20/16,52.650002,135.470001,158.410004,143.020004
7/21/16,52.810001,139,171.529999,142.869995
7/22/16,53.040001,142.940002,176.050003,143.690002
7/25/16,52.82,139.979996,173.009995,141.729996
7/26/16,51.959999,137.589996,173.960007,141.699997
7/27/16,50.59,133.860001,172.070007,141.679993
7/28/16,57.209999,132.899994,172.210007,142.759995
7/29/16,56.810001,131.339996,172.550003,143.199997
8/1/16,56.16,127.610001,171.179993,143.509995
8/2/16,57.02,125.559998,169.570007,143.169998
8/3/16,58.57,127.870003,173.479996,142.880005
8/4/16,58,126.82,173.830002,142.710007
8/5/16,58.790001,127.860001,178.960007,142.990005
8/8/16,58.290001,127.739998,177.649994,142.130005
8/9/16,58.189999,128.449997,177.130005,141.820007
8/10/16,57.790001,128.149994,179.699997,142.190002
8/11/16,57.709999,128.199997,180.089996,142.630005
8/12/16,57.849998,130.190002,180.860001,142.880005
8/15/16,57.580002,129.289993,179.630005,141.619995
8/16/16,57.400002,129.330002,179.630005,141.080002
8/17/16,55.759998,129.539993,178.880005,141.710007
