t,Date,MOH,ANTM,HUM,UNH
94,6/1/16,49.290001000000004,132.509995,177.399994,134.529999
95,6/2/16,50.490002000000004,133.28999299999998,187.360001,136.03999299999998
96,6/3/16,50.490002000000004,131.83999599999999,186.199997,136.83999599999999
97,6/6/16,51.43,132.440002,189.380005,138.149994
98,6/7/16,51.029999,132.91000400000001,188.399994,136.940002
99,6/8/16,51.939999,134.199997,188.0,140.399994
100,6/9/16,51.869999,133.75,188.350006,140.679993
101,6/10/16,50.73,131.520004,186.759995,139.240005
102,6/13/16,50.490002000000004,130.679993,184.690002,138.08999599999999
103,6/14/16,50.009997999999996,130.520004,185.690002,137.869995
104,6/15/16,50.48,130.610001,185.550003,137.259995
105,6/16/16,50.869999,132.279999,187.03999299999998,138.66000400000001
106,6/17/16,51.009997999999996,132.33999599999999,187.149994,137.690002
107,6/20/16,52.0,132.720001,189.899994,138.520004
108,6/21/16,51.27,131.449997,190.070007,138.190002
109,6/22/16,50.990002000000004,128.720001,187.669998,137.899994
110,6/23/16,51.200001,128.669998,187.309998,139.190002
111,6/24/16,50.299999,126.379997,182.899994,137.28999299999998
112,6/27/16,49.02,124.849998,176.940002,137.110001
113,6/28/16,49.740002000000004,127.050003,182.949997,138.71000700000002
114,6/29/16,50.66,131.479996,183.649994,140.520004
115,6/30/16,49.900002,131.33999599999999,179.880005,141.199997
116,7/1/16,49.830002,131.669998,174.0,140.860001
117,7/5/16,48.240002000000004,130.83999599999999,177.21000700000002,141.559998
118,7/6/16,48.669998,132.119995,179.979996,142.380005
119,7/7/16,48.959998999999996,129.440002,162.740005,140.800003
120,7/8/16,50.209998999999996,132.149994,158.149994,141.270004
121,7/11/16,50.900002,131.559998,154.0,140.320007
122,7/12/16,51.150002,131.880005,154.71000700000002,139.860001
123,7/13/16,52.0,133.740005,161.300003,141.479996
124,7/14/16,52.0,133.91000400000001,161.270004,140.83999599999999
125,7/15/16,52.009997999999996,134.309998,158.889999,141.330002
126,7/18/16,52.509997999999996,135.0,159.639999,140.75
127,7/19/16,52.110001000000004,132.059998,153.380005,142.58999599999999
128,7/20/16,52.650002,135.470001,158.41000400000001,143.020004
129,7/21/16,52.810001,139.0,171.529999,142.869995
130,7/22/16,53.040001000000004,142.940002,176.050003,143.690002
131,7/25/16,52.82,139.979996,173.009995,141.729996
132,7/26/16,51.959998999999996,137.58999599999999,173.96000700000002,141.699997
133,7/27/16,50.59,133.860001,172.070007,141.679993
134,7/28/16,57.209998999999996,132.899994,172.21000700000002,142.759995
135,7/29/16,56.810001,131.33999599999999,172.550003,143.199997
136,8/1/16,56.16,127.610001,171.179993,143.509995
137,8/2/16,57.02,125.559998,169.570007,143.169998
138,8/3/16,58.57,127.870003,173.479996,142.880005
139,8/4/16,58.0,126.82,173.830002,142.71000700000002
140,8/5/16,58.790001000000004,127.860001,178.96000700000002,142.990005
141,8/8/16,58.290001000000004,127.739998,177.649994,142.130005
142,8/9/16,58.189999,128.449997,177.130005,141.820007
143,8/10/16,57.790001000000004,128.149994,179.699997,142.190002
144,8/11/16,57.709998999999996,128.199997,180.08999599999999,142.630005
145,8/12/16,57.849998,130.190002,180.860001,142.880005
146,8/15/16,57.580002,129.28999299999998,179.630005,141.619995
147,8/16/16,57.400002,129.330002,179.630005,141.080002
148,8/17/16,55.759997999999996,129.53999299999998,178.880005,141.71000700000002
149,8/18/16,56.189999,129.429993,179.479996,142.169998
150,8/19/16,56.139998999999996,129.520004,178.0,142.03999299999998
151,8/22/16,56.169998,129.720001,180.419998,142.08999599999999
152,8/23/16,56.209998999999996,129.119995,179.860001,142.009995
153,8/24/16,55.290001000000004,127.610001,179.309998,139.869995
154,8/25/16,54.700001,127.110001,177.28999299999998,137.300003
155,8/26/16,54.139998999999996,124.940002,177.380005,136.619995
156,8/29/16,54.099998,124.18,176.929993,137.270004
157,8/30/16,54.32,125.41999799999999,178.470001,136.869995
158,8/31/16,53.810001,125.08000200000001,178.71000700000002,136.050003
159,9/1/16,53.540001000000004,123.360001,176.529999,135.740005
160,9/2/16,55.330002,124.239998,177.330002,136.610001
161,9/6/16,55.0,124.290001,176.779999,135.970001
162,9/7/16,56.939999,125.849998,176.16000400000001,134.990005
163,9/8/16,57.09,127.66999799999999,176.419998,135.440002
164,9/9/16,56.290001000000004,126.889999,176.5,133.619995
165,9/12/16,56.43,128.580002,176.779999,135.529999
166,9/13/16,54.810001,124.57,175.78999299999998,133.949997
167,9/14/16,54.689999,123.290001,174.990005,133.690002
168,9/15/16,55.490002000000004,124.339996,174.779999,135.610001
169,9/16/16,55.740002000000004,125.519997,174.619995,138.470001
170,9/19/16,57.060001,126.32,174.580002,137.679993
171,9/20/16,56.84,125.760002,174.520004,137.470001
172,9/21/16,58.41,128.58999599999999,175.850006,139.91000400000001
173,9/22/16,58.880001,128.419998,175.990005,141.03999299999998
174,9/23/16,58.720001,126.559998,175.550003,140.509995
175,9/26/16,57.560001,125.08000200000001,175.309998,139.720001
176,9/27/16,58.09,126.300003,177.220001,140.78999299999998
177,9/28/16,58.189999,127.370003,176.580002,140.41000400000001
178,9/29/16,57.299999,124.93,175.820007,138.320007
179,9/30/16,58.32,125.309998,176.889999,140.0
180,10/3/16,56.73,122.900002,176.630005,138.490005
181,10/4/16,56.490002000000004,122.440002,177.220001,138.16000400000001
182,10/5/16,57.110001000000004,122.07,177.800003,137.600006
183,10/6/16,57.369999,122.349998,177.229996,136.470001
184,10/7/16,57.009997999999996,121.900002,177.740005,136.66000400000001
185,10/10/16,58.950001,124.800003,178.509995,138.080002
186,10/11/16,57.529999,121.900002,177.529999,134.75
187,10/12/16,56.98,120.849998,168.440002,135.100006
188,10/13/16,56.110001000000004,121.0,169.479996,134.190002
189,10/14/16,55.98,121.089996,170.820007,133.919998
190,10/17/16,55.939999,118.279999,169.889999,134.130005
191,10/18/16,57.689999,123.150002,173.270004,143.389999
192,10/19/16,58.470001,123.83000200000001,173.899994,144.369995
193,10/20/16,58.240002000000004,124.029999,174.550003,145.070007
194,10/21/16,59.5,123.5,175.880005,145.369995
195,10/24/16,59.599998,124.489998,176.270004,144.690002
196,10/25/16,59.419998,124.5,174.860001,143.779999
197,10/26/16,58.02,124.16999799999999,174.649994,142.229996
198,10/27/16,57.700001,123.489998,174.190002,141.940002
199,10/28/16,54.59,121.620003,171.059998,140.350006
200,10/31/16,54.41,121.860001,171.529999,141.330002
201,11/1/16,53.939999,117.41999799999999,168.66000400000001,139.429993
202,11/2/16,53.860001000000004,122.989998,168.190002,138.979996
203,11/3/16,53.009997999999996,120.029999,165.309998,137.830002
204,11/4/16,53.82,119.290001,167.419998,137.71000700000002
205,11/7/16,57.5,123.489998,174.91000400000001,141.929993
206,11/8/16,58.759997999999996,126.839996,179.029999,142.899994
207,11/9/16,49.490002000000004,128.75,186.0,141.899994
208,11/10/16,50.380001,133.860001,192.880005,146.130005
209,11/11/16,47.529999,133.679993,193.190002,146.419998
210,11/14/16,49.93,138.600006,198.83999599999999,152.279999
211,11/15/16,51.34,138.419998,198.820007,152.229996
212,11/16/16,51.91,138.389999,200.470001,151.5
213,11/17/16,52.310001,137.880005,202.059998,150.770004
214,11/18/16,52.32,135.350006,200.16000400000001,149.449997
215,11/21/16,52.43,137.360001,199.990005,150.41000400000001
216,11/22/16,52.0,141.309998,205.71000700000002,152.259995
217,11/23/16,52.560001,143.619995,207.929993,153.53999299999998
218,11/25/16,52.599998,144.740005,207.880005,152.809998
219,11/28/16,52.41,143.240005,208.0,152.110001
220,11/29/16,53.59,145.279999,210.0,157.58999599999999
221,11/30/16,52.860001000000004,142.529999,212.63999900000002,158.320007
222,12/1/16,52.689999,145.169998,216.75999500000003,160.940002
223,12/2/16,53.25,145.100006,213.63000499999998,160.729996
224,12/5/16,53.349998,144.08999599999999,208.830002,157.630005
225,12/6/16,53.68,143.550003,204.300003,157.320007
226,12/7/16,53.599998,145.199997,203.0,159.399994
227,12/8/16,54.700001,146.610001,206.699997,159.320007
228,12/9/16,54.139998999999996,145.880005,203.28999299999998,160.119995
229,12/12/16,52.919998,145.78999299999998,202.929993,159.490005
230,12/13/16,54.689999,146.580002,204.570007,160.53999299999998
231,12/14/16,54.389998999999996,144.690002,205.240005,159.860001
