t,Date,MOH(t),ANTM(t),HUM(t),UNH(t),MOH(t-1),ANTM(t-1),HUM(t-1),UNH(t-1),MOH(t-2),ANTM(t-2),HUM(t-2),UNH(t-2),MOH(t-3),ANTM(t-3),HUM(t-3),UNH(t-3),Y(t)
91,6/1/16,49.290001000000004,132.509995,177.399994,134.529999,48.43,132.16000400000001,172.509995,133.669998,48.560001,130.699997,173.740005,134.0,47.889998999999996,129.610001,174.25,132.979996,136.03999299999998
92,6/2/16,50.490002000000004,133.28999299999998,187.360001,136.03999299999998,49.290001000000004,132.509995,177.399994,134.529999,48.43,132.16000400000001,172.509995,133.669998,48.560001,130.699997,173.740005,134.0,136.83999599999999
93,6/3/16,50.490002000000004,131.83999599999999,186.199997,136.83999599999999,50.490002000000004,133.28999299999998,187.360001,136.03999299999998,49.290001000000004,132.509995,177.399994,134.529999,48.43,132.16000400000001,172.509995,133.669998,138.149994
94,6/6/16,51.43,132.440002,189.380005,138.149994,50.490002000000004,131.83999599999999,186.199997,136.83999599999999,50.490002000000004,133.28999299999998,187.360001,136.03999299999998,49.290001000000004,132.509995,177.399994,134.529999,136.940002
95,6/7/16,51.029999,132.91000400000001,188.399994,136.940002,51.43,132.440002,189.380005,138.149994,50.490002000000004,131.83999599999999,186.199997,136.83999599999999,50.490002000000004,133.28999299999998,187.360001,136.03999299999998,140.399994
96,6/8/16,51.939999,134.199997,188.0,140.399994,51.029999,132.91000400000001,188.399994,136.940002,51.43,132.440002,189.380005,138.149994,50.490002000000004,131.83999599999999,186.199997,136.83999599999999,140.679993
97,6/9/16,51.869999,133.75,188.350006,140.679993,51.939999,134.199997,188.0,140.399994,51.029999,132.91000400000001,188.399994,136.940002,51.43,132.440002,189.380005,138.149994,139.240005
98,6/10/16,50.73,131.520004,186.759995,139.240005,51.869999,133.75,188.350006,140.679993,51.939999,134.199997,188.0,140.399994,51.029999,132.91000400000001,188.399994,136.940002,138.08999599999999
99,6/13/16,50.490002000000004,130.679993,184.690002,138.08999599999999,50.73,131.520004,186.759995,139.240005,51.869999,133.75,188.350006,140.679993,51.939999,134.199997,188.0,140.399994,137.869995
100,6/14/16,50.009997999999996,130.520004,185.690002,137.869995,50.490002000000004,130.679993,184.690002,138.08999599999999,50.73,131.520004,186.759995,139.240005,51.869999,133.75,188.350006,140.679993,137.259995
101,6/15/16,50.48,130.610001,185.550003,137.259995,50.009997999999996,130.520004,185.690002,137.869995,50.490002000000004,130.679993,184.690002,138.08999599999999,50.73,131.520004,186.759995,139.240005,138.66000400000001
102,6/16/16,50.869999,132.279999,187.03999299999998,138.66000400000001,50.48,130.610001,185.550003,137.259995,50.009997999999996,130.520004,185.690002,137.869995,50.490002000000004,130.679993,184.690002,138.08999599999999,137.690002
103,6/17/16,51.009997999999996,132.33999599999999,187.149994,137.690002,50.869999,132.279999,187.03999299999998,138.66000400000001,50.48,130.610001,185.550003,137.259995,50.009997999999996,130.520004,185.690002,137.869995,138.520004
104,6/20/16,52.0,132.720001,189.899994,138.520004,51.009997999999996,132.33999599999999,187.149994,137.690002,50.869999,132.279999,187.03999299999998,138.66000400000001,50.48,130.610001,185.550003,137.259995,138.190002
105,6/21/16,51.27,131.449997,190.070007,138.190002,52.0,132.720001,189.899994,138.520004,51.009997999999996,132.33999599999999,187.149994,137.690002,50.869999,132.279999,187.03999299999998,138.66000400000001,137.899994
106,6/22/16,50.990002000000004,128.720001,187.669998,137.899994,51.27,131.449997,190.070007,138.190002,52.0,132.720001,189.899994,138.520004,51.009997999999996,132.33999599999999,187.149994,137.690002,139.190002
107,6/23/16,51.200001,128.669998,187.309998,139.190002,50.990002000000004,128.720001,187.669998,137.899994,51.27,131.449997,190.070007,138.190002,52.0,132.720001,189.899994,138.520004,137.28999299999998
